Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ
07:45:30.791 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.050000,1.130000,2.400000,3.000000,103.000000,1,0,-0.005022,0.001550,0,0.000000,0.000000,0.000000,-0.031601,0.010025,0.000000,-0.003000,0.002000,0.002000
07:45:30.890 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.060000,1.080000,2.430000,3.000000,104.000000,1,0,0.000062,0.001550,0,-0.020065,-0.007004,0.000000,-0.032013,0.009933,0.000000,0.024000,-0.018000,0.041000
07:45:30.991 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.060000,1.090000,2.420000,3.000000,104.000000,1,0,0.008928,0.001550,0,0.000000,0.000000,0.000000,-0.032394,0.009842,0.000000,-0.005000,0.013000,-0.001000
07:45:31.092 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.060000,1.090000,2.420000,3.000000,103.000000,1,0,0.002232,0.001550,0,0.000000,0.000000,0.000000,-0.032394,0.009842,0.000000,0.000000,-0.003000,0.007000
07:45:31.191 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.060000,1.100000,2.410000,3.000000,102.000000,1,0,-0.003968,0.001550,0,0.000000,0.000000,0.000000,-0.032394,0.009842,0.000000,-0.001000,0.000000,0.000000
07:45:31.292 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.060000,1.100000,2.410000,3.000000,101.000000,1,0,-0.015872,0.001550,0,0.000000,0.000000,0.000000,-0.032394,0.009842,0.000000,0.000000,0.000000,0.008000
07:45:31.392 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.050000,1.100000,2.410000,3.000000,102.000000,1,0,-0.059582,0.001550,0,0.000000,0.000000,0.000000,-0.032394,0.009842,0.000000,0.000000,0.000000,0.002000
07:45:31.493 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.050000,1.110000,2.410000,3.000000,100.000000,1,0,-0.161262,0.001550,0,0.000000,0.000000,0.000000,-0.032394,0.009842,0.000000,0.000000,0.009000,0.003000
07:45:31.594 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.050000,1.110000,2.400000,3.000000,101.000000,1,0,-0.261951,0.001550,0,0.000000,0.000000,0.000000,-0.032394,0.009842,0.000000,0.000000,0.005000,0.007000
07:45:31.694 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,0.180000,1.090000,3.230000,3.000000,102.000000,1,0,-0.437473,0.001550,0,0.012375,0.128357,0.000000,-0.032120,0.011581,0.000000,0.127000,0.222000,-0.059000
07:45:31.794 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,2.550000,0.930000,4.590000,3.000000,101.000000,1,0,-0.437473,0.001550,0,0.039734,0.429901,0.000000,-0.030045,0.026978,0.000000,-0.020000,0.396000,0.060000
07:45:31.894 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,5.580000,0.940000,5.730000,3.000000,104.000000,1,0,-0.005022,0.002232,0,0.122635,0.680099,0.000000,-0.025833,0.056641,0.000000,0.018000,0.314000,0.021000
07:45:31.993 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,7.990000,0.910000,4.640000,3.000000,104.000000,1,0,0.015872,0.003968,0,0.106430,0.538452,0.000000,-0.018692,0.096420,0.000000,-0.002000,-0.117000,-0.024000
07:45:32.094 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,7.840000,1.160000,4.430000,3.000000,101.000000,1,0,0.180792,0.024800,0,0.135910,0.443161,0.000000,-0.013550,0.115677,0.000000,-0.052000,-0.254000,0.009000
07:45:32.194 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,6.530000,1.460000,1.740000,3.000000,102.000000,1,0,0.194432,0.223200,0,0.187805,-0.077423,0.000000,-0.005142,0.126205,0.000000,0.176000,-0.565000,0.107000
07:45:32.295 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,1.420000,1.930000,0.200000,3.000000,101.000000,1,0,0.008928,0.330399,0,0.208069,-0.254562,0.000000,0.005829,0.115143,0.000000,-0.083000,0.129000,-0.004000
07:45:32.396 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-5.380000,0.390000,3.190000,3.000000,103.000000,1,0,0.007502,0.330399,0,-0.118835,-0.022095,0.000000,0.006577,0.110245,0.000000,0.015000,0.240000,-0.099000
07:45:32.495 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-11.600000,2.570000,3.180000,3.000000,101.000000,1,0,-0.003968,0.180792,0,0.169037,0.286667,0.000000,0.006500,0.118530,0.000000,-0.123000,0.062000,-0.317000
07:45:32.595 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-15.100000,0.960000,4.260000,3.000000,102.000000,1,0,-0.008928,0.180792,0,-0.190506,0.303329,0.000000,0.004532,0.137070,0.000000,0.185000,0.090000,-0.107000
07:45:32.697 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-16.750000,1.700000,3.570000,3.000000,100.000000,1,0,-0.067518,0.180792,0,-0.130753,0.326797,0.000000,-0.001007,0.154205,0.000000,-0.273000,-0.124000,-0.197000
07:45:32.797 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-18.220000,1.410000,3.530000,3.000000,102.000000,1,0,-0.174158,0.238328,0,-0.166046,0.284317,0.000000,-0.010880,0.168289,0.000000,0.125000,0.060000,-0.009000
07:45:32.899 PM 02/09/2016,Teleop Enabled,0,TRUE,-44087,NetComm_CAN_Receive.vi:5470007<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470007      WPI_CANTalonSRX_Receive.vi      WPI_MotorControlOpenCANTalonSRX.vi      Begin.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-19.410000,1.250000,4.250000,3.000000,102.000000,1,0,-0.180792,0.386943,0,-0.220673,0.347244,0.000000,-0.020325,0.184570,0.000000,-0.070000,0.106000,0.065000
